###Table full name: bigquery-public-data.world_bank_global_population.population_by_country
[
    year_1981 (Type: INT64; Sample values: ['None', 'None', 'None', 'None', '6749847'])
    year_1980 (Type: INT64; Sample values: ['None', 'None', 'None', 'None', '6693764'])
    year_1986 (Type: INT64; Sample values: ['None', 'None', 'None', 'None', '7960949'])
    year_1987 (Type: INT64; Sample values: ['None', 'None', 'None', 'None', '8198082'])
    year_1988 (Type: INT64; Sample values: ['None', 'None', 'None', 'None', '8435912'])
    year_1985 (Type: INT64; Sample values: ['None', 'None', 'None', 'None', '7714880'])
    year_1983 (Type: INT64; Sample values: ['None', 'None', 'None', 'None', '7169997'])
    year_1982 (Type: INT64; Sample values: ['None', 'None', 'None', 'None', '6919801'])
    year_1989 (Type: INT64; Sample values: ['None', 'None', 'None', 'None', '8691334'])
    year_1990 (Type: INT64; Sample values: ['None', 'None', '1978248', '7586000', '8975597'])
    year_1979 (Type: INT64; Sample values: ['None', 'None', 'None', 'None', '6770396'])
    year_1984 (Type: INT64; Sample values: ['None', 'None', 'None', 'None', '7447853'])
    year_1978 (Type: INT64; Sample values: ['None', 'None', 'None', 'None', '6957265'])
    year_1991 (Type: INT64; Sample values: ['None', 'None', '2068845', '7595636', '9289299'])
    year_1977 (Type: INT64; Sample values: ['None', 'None', 'None', 'None', '7196042'])
    year_1997 (Type: INT64; Sample values: ['None', 'None', '2706518', '7596501', '11298600'])
    year_2010 (Type: INT64; Sample values: ['34056', 'None', '3786161', '7291436', '14312212'])
    year_1993 (Type: INT64; Sample values: ['None', 'None', '2262676', '7699307', '9970733'])
    year_1961 (Type: INT64; Sample values: ['None', 'None', 'None', 'None', '5872966'])
    year_1992 (Type: INT64; Sample values: ['None', 'None', '2163591', '7646424', '9623889'])
    year_1971 (Type: INT64; Sample values: ['None', 'None', 'None', 'None', '7139647'])
    year_2001 (Type: INT64; Sample values: ['30600', 'None', '2997784', '7503433', '12405408'])
    year_2011 (Type: INT64; Sample values: ['33435', 'None', '3882986', '7234099', '14541423'])
    year_2008 (Type: INT64; Sample values: ['33964', 'None', '3591977', '7350222', '13883834'])
    year_1973 (Type: INT64; Sample values: ['None', 'None', 'None', 'None', '7449238'])
    year_1975 (Type: INT64; Sample values: ['None', 'None', 'None', 'None', '7524447'])
    year_1998 (Type: INT64; Sample values: ['31240', 'None', '2776568', '7567745', '11600508'])
    year_1994 (Type: INT64; Sample values: ['None', 'None', '2366298', '7734639', '10317899'])
    year_2007 (Type: INT64; Sample values: ['33811', 'None', '3494496', '7381579', '13679962'])
    year_1965 (Type: INT64; Sample values: ['None', 'None', 'None', 'None', '6467197'])
    year_1970 (Type: INT64; Sample values: ['None', 'None', 'None', 'None', '6996576'])
    year_1995 (Type: INT64; Sample values: ['None', 'None', '2474666', '7625357', '10656138'])
    year_2000 (Type: INT64; Sample values: ['30519', 'None', '2922153', '7516346', '12155239'])
    year_1972 (Type: INT64; Sample values: ['None', 'None', 'None', 'None', '7302111'])
    year_1976 (Type: INT64; Sample values: ['None', 'None', 'None', 'None', '7404684'])
    year_2013 (Type: INT64; Sample values: ['36607', 'None', '4076708', '7164132', '15026332'])
    year_2017 (Type: INT64; Sample values: ['40574', 'None', '4454805', '7020858', '16009414'])
    year_2004 (Type: INT64; Sample values: ['32488', 'None', '3236626', '7463157', '13066469'])
    year_2003 (Type: INT64; Sample values: ['31472', 'None', '3154969', '7480591', '12856163'])
    year_1960 (Type: INT64; Sample values: ['None', 'None', 'None', 'None', '5722370'])
    year_1964 (Type: INT64; Sample values: ['None', 'None', 'None', 'None', '6331449'])
    year_2005 (Type: INT64; Sample values: ['33011', 'None', '3320396', '7440769', '13273354'])
    year_1963 (Type: INT64; Sample values: ['None', 'None', 'None', 'None', '6183584'])
    year_1999 (Type: INT64; Sample values: ['31084', 'None', '2848431', '7540401', '11886458'])
    year_2002 (Type: INT64; Sample values: ['30777', 'None', '3075373', '7496522', '12637727'])
    year_2009 (Type: INT64; Sample values: ['34238', 'None', '3689099', '7320807', '14093604'])
    year_1967 (Type: INT64; Sample values: ['None', 'None', 'None', 'None', '6685960'])
    year_2018 (Type: INT64; Sample values: ['40654', 'None', '4569087', '6982084', '16249798'])
    year_2006 (Type: INT64; Sample values: ['33441', 'None', '3406334', '7411569', '13477709'])
    year_1962 (Type: INT64; Sample values: ['None', 'None', 'None', 'None', '6028431'])
    year_1966 (Type: INT64; Sample values: ['None', 'None', 'None', 'None', '6585035'])
    year_1996 (Type: INT64; Sample values: ['None', 'None', '2587997', '7617794', '10982917'])
    year_1968 (Type: INT64; Sample values: ['None', 'None', 'None', 'None', '6779787'])
    year_2014 (Type: INT64; Sample values: ['37685', 'None', '4173398', '7130576', '15274503'])
    year_1969 (Type: INT64; Sample values: ['None', 'None', 'None', 'None', '6880623'])
    year_1974 (Type: INT64; Sample values: ['None', 'None', 'None', 'None', '7533336'])
    year_2015 (Type: INT64; Sample values: ['38825', 'None', '4270092', '7095383', '15521436'])
    year_2012 (Type: INT64; Sample values: ['34640', 'None', '3979998', '7199077', '14780454'])
    year_2016 (Type: INT64; Sample values: ['39969', 'None', '4367088', '7058322', '15766293'])
    country (Type: STRING; Sample values: ['Sint Maarten (Dutch part)', 'Not classified', 'West Bank and Gaza', 'Serbia', 'Cambodia'])
    year_2019 (Type: INT64; Sample values: ['None', 'None', 'None', 'None', 'None'])
    country_code (Type: STRING; Sample values: ['SXM', 'INX', 'PSE', 'SRB', 'KHM'])
]

--------------------------------------------------

###Table full name: bigquery-public-data.world_bank_health_population.country_summary
[
    region (Type: STRING; Sample values: ['None', 'None', 'None', 'None', 'None'])
    income_group (Type: STRING; Sample values: ['None', 'None', 'None', 'None', 'None'])
    source_of_most_recent_income_and_expenditure_data (Type: STRING; Sample values: ['None', 'None', 'None', 'None', 'None'])
    currency_unit (Type: STRING; Sample values: ['None', 'None', 'None', 'None', 'None'])
    national_accounts_reference_year (Type: STRING; Sample values: ['None', 'None', 'None', 'None', 'None'])
    latest_industrial_data (Type: INT64; Sample values: ['None', 'None', 'None', 'None', 'None'])
    national_accounts_base_year (Type: STRING; Sample values: ['None', 'None', 'None', 'None', 'None'])
    ppp_survey_year (Type: STRING; Sample values: ['None', 'None', 'None', 'None', 'None'])
    latest_population_census (Type: STRING; Sample values: ['None', 'None', 'None', 'None', 'None'])
    two_alpha_code (Type: STRING; Sample values: ['ZH', 'ZI', '1A', 'B8', 'S3'])
    imf_data_dissemination_standard (Type: STRING; Sample values: ['None', 'None', 'None', 'None', 'None'])
    system_of_national_accounts (Type: STRING; Sample values: ['None', 'None', 'None', 'None', 'None'])
    vital_registration_complete (Type: STRING; Sample values: ['None', 'None', 'None', 'None', 'None'])
    latest_trade_data (Type: INT64; Sample values: ['None', 'None', 'None', 'None', 'None'])
    country_code (Type: STRING; Sample values: ['AFE', 'AFW', 'ARB', 'CEB', 'CSS'])
    alternative_conversion_factor (Type: STRING; Sample values: ['None', 'None', 'None', 'None', 'None'])
    short_name (Type: STRING; Sample values: ['Africa Eastern and Southern', 'Africa Western and Central', 'Arab World', 'Central Europe and the Baltics', 'Caribbean small states'])
    table_name (Type: STRING; Sample values: ['Africa Eastern and Southern', 'Africa Western and Central', 'Arab World', 'Central Europe and the Baltics', 'Caribbean small states'])
    long_name (Type: STRING; Sample values: ['Africa Eastern and Southern', 'Africa Western and Central', 'Arab World', 'Central Europe and the Baltics', 'Caribbean small states'])
    wb_2_code (Type: STRING; Sample values: ['ZH', 'ZI', '1A', 'B8', 'S3'])
    other_groups (Type: STRING; Sample values: ['None', 'None', 'None', 'None', 'None'])
    latest_household_survey (Type: STRING; Sample values: ['None', 'None', 'None', 'None', 'None'])
    special_notes (Type: STRING; Sample values: ['26 countries, stretching from the Red Sea in the North to the Cape of Good Hope in the South (https://www.worldbank.org/en/region/afr/eastern-and-southern-africa)', '22 countries, stretching from the westernmost point of Africa, across the equator, and partly along the Atlantic Ocean till the Republic of Congo in the South (https://www.worldbank.org/en/region/afr/western-and-central-africa)', 'Arab World aggregate. Arab World is composed of members of the League of Arab States.', 'Central Europe and the Baltics aggregate.', 'None'])
    latest_agricultural_census (Type: STRING; Sample values: ['None', 'None', 'None', 'None', 'None'])
    system_of_trade (Type: STRING; Sample values: ['None', 'None', 'None', 'None', 'None'])
    external_debt_reporting_status (Type: STRING; Sample values: ['None', 'None', 'None', 'None', 'None'])
    lending_category (Type: STRING; Sample values: ['None', 'None', 'None', 'None', 'None'])
]

--------------------------------------------------

###Table full name: bigquery-public-data.world_bank_intl_education.country_summary
[
    region (Type: STRING; Sample values: ['None', 'None', 'None', 'None', 'None'])
    income_group (Type: STRING; Sample values: ['None', 'None', 'None', 'None', 'None'])
    source_of_most_recent_income_and_expenditure_data (Type: STRING; Sample values: ['None', 'None', 'None', 'None', 'None'])
    latest_population_census (Type: STRING; Sample values: ['None', 'None', 'None', 'None', 'None'])
    currency_unit (Type: STRING; Sample values: ['None', 'None', 'None', 'None', 'None'])
    ppp_survey_year (Type: STRING; Sample values: ['None', 'None', 'None', 'None', 'None'])
    latest_industrial_data (Type: INT64; Sample values: ['None', 'None', 'None', 'None', 'None'])
    vital_registration_complete (Type: STRING; Sample values: ['None', 'None', 'None', 'None', 'None'])
    national_accounts_reference_year (Type: STRING; Sample values: ['None', 'None', 'None', 'None', 'None'])
    national_accounts_base_year (Type: STRING; Sample values: ['None', 'None', 'None', 'None', 'None'])
    two_alpha_code (Type: STRING; Sample values: ['1A', '4E', 'Z4', '7E', 'Z7'])
    latest_agricultural_census (Type: STRING; Sample values: ['None', 'None', 'None', 'None', 'None'])
    country_code (Type: STRING; Sample values: ['ARB', 'EAP', 'EAS', 'ECA', 'ECS'])
    short_name (Type: STRING; Sample values: ['Arab World', 'East Asia & Pacific (developing only)', 'East Asia & Pacific (all income levels)', 'Europe & Central Asia (developing only)', 'Europe & Central Asia (all income levels)'])
    table_name (Type: STRING; Sample values: ['Arab World', 'East Asia & Pacific', 'East Asia & Pacific (all income levels)', 'Europe & Central Asia', 'Europe & Central Asia (all income levels)'])
    long_name (Type: STRING; Sample values: ['Arab World', 'East Asia & Pacific (developing only)', 'East Asia & Pacific (all income levels)', 'Europe & Central Asia (developing only)', 'Europe & Central Asia (all income levels)'])
    wb_two_code (Type: STRING; Sample values: ['1A', '4E', 'Z4', '7E', 'Z7'])
    imf_data_dissemination_standard (Type: STRING; Sample values: ['None', 'None', 'None', 'None', 'None'])
    other_groups (Type: STRING; Sample values: ['None', 'None', 'None', 'None', 'None'])
    latest_trade_data (Type: INT64; Sample values: ['None', 'None', 'None', 'None', 'None'])
    latest_water_withdrawal_data (Type: STRING; Sample values: ['None', 'None', 'None', 'None', 'None'])
    latest_household_survey (Type: STRING; Sample values: ['None', 'None', 'None', 'None', 'None'])
    system_of_trade (Type: STRING; Sample values: ['None', 'None', 'None', 'None', 'None'])
    system_of_national_accounts (Type: STRING; Sample values: ['None', 'None', 'None', 'None', 'None'])
    balance_of_payments_manual_in_use (Type: STRING; Sample values: ['None', 'None', 'None', 'None', 'None'])
    special_notes (Type: STRING; Sample values: ['Arab World aggregate. Arab World is composed of members of the League of Arab States.', 'East Asia and Pacific regional aggregate (does not include high-income economies).', 'East Asia and Pacific regional aggregate (including high-income economies).', 'Europe and Central Asia regional aggregate (does not include high-income economies).', 'Europe and Central Asia regional aggregate (including high-income economies).'])
    government_accounting_concept (Type: STRING; Sample values: ['None', 'None', 'None', 'None', 'None'])
    external_debt_reporting_status (Type: STRING; Sample values: ['None', 'None', 'None', 'None', 'None'])
]

--------------------------------------------------

###Table full name: bigquery-public-data.world_bank_intl_debt.country_summary
[
    source_of_most_recent_Income_and_expenditure_data (Type: STRING; Sample values: ['None', 'None', 'None', 'None', 'None'])
    income_group (Type: STRING; Sample values: ['None', 'None', 'None', 'None', 'None'])
    region (Type: STRING; Sample values: ['None', 'None', 'None', 'None', 'None'])
    country_code (Type: STRING; Sample values: ['EAP', 'ECA', 'IDX', 'LAC', 'LDC'])
    short_name (Type: STRING; Sample values: ['East Asia & Pacific (excluding high income)', 'Europe & Central Asia (excluding high income)', 'IDA only', 'Latin America & Caribbean (excluding high income)', 'Least developed countries: UN classification'])
    table_name (Type: STRING; Sample values: ['East Asia & Pacific (excluding high income)', 'Europe & Central Asia (excluding high income)', 'IDA only', 'Latin America & Caribbean (excluding high income)', 'Least developed countries: UN classification'])
    long_name (Type: STRING; Sample values: ['East Asia & Pacific (excluding high income)', 'Europe & Central Asia (excluding high income)', 'IDA only', 'Latin America & Caribbean (excluding high income)', 'Least developed countries: UN classification'])
    two_alpha_code (Type: STRING; Sample values: ['4E', '7E', 'XI', 'XJ', 'XL'])
    wb_2_code (Type: STRING; Sample values: ['4E', '7E', 'XI', 'XJ', 'XL'])
    latest_trade_data (Type: INT64; Sample values: ['None', 'None', 'None', 'None', 'None'])
    imf_data_dissemination_standard (Type: STRING; Sample values: ['None', 'None', 'None', 'None', 'None'])
    latest_industrial_data (Type: INT64; Sample values: ['None', 'None', 'None', 'None', 'None'])
    other_groups (Type: STRING; Sample values: ['None', 'None', 'None', 'None', 'None'])
    latest_household_survey (Type: STRING; Sample values: ['None', 'None', 'None', 'None', 'None'])
