###Table full name: BRAZE_USER_EVENT_DEMO_DATASET.PUBLIC.USERS_MESSAGES_PUSHNOTIFICATION_BOUNCE_VIEW
[
    TIMEZONE (Type: TEXT; Sample values: ['Europe/Oslo'])
    TIME (Type: NUMBER; Sample values: ['1689990591'])
    PUSH_TOKEN (Type: TEXT; Sample values: ['OcHwgtCyVFwsrs'])
    USER_ID (Type: TEXT; Sample values: ['2TcIEwF3b000naI'])
    AD_ID (Type: TEXT; Sample values: ['Dizbk6S9LGrvPY'])
    APP_ID (Type: TEXT; Sample values: ['WleeR6PnBPb'])
    PLATFORM (Type: TEXT; Sample values: ['ios'])
    AD_TRACKING_ENABLED (Type: BOOLEAN; Sample values: ['True'])
    SEND_ID (Type: TEXT; Sample values: ['hJxqI2xxXFx1ty'])
    SF_CREATED_AT (Type: TIMESTAMP_LTZ; Sample values: ['2021-12-14 11:17:15.112000-08:00'])
    ID (Type: TEXT; Sample values: ['QsBCAOIInGgtAm'])
    DEVICE_ID (Type: TEXT; Sample values: ['7ms6uxHYinL8gS'])
    APP_API_ID (Type: TEXT; Sample values: ['XCqUYstBRhRINK'])
    MESSAGE_VARIATION_API_ID (Type: TEXT; Sample values: ['YEzLzY1JlgIVHl'])
    CANVAS_ID (Type: TEXT; Sample values: ['None'])
    MESSAGE_VARIATION_ID (Type: TEXT; Sample values: ['okWUvcJtNoLwKCo'])
    CANVAS_STEP_MESSAGE_VARIATION_ID (Type: TEXT; Sample values: ['GLY6T5pSVtV5b8'])
    CANVAS_STEP_API_ID (Type: TEXT; Sample values: ['None'])
    CAMPAIGN_API_ID (Type: TEXT; Sample values: ['gRN5B0M45GQ3W2E'])
    CANVAS_API_ID (Type: TEXT; Sample values: ['None'])
    DISPATCH_ID (Type: TEXT; Sample values: ['anIQh6p0GXp5pM'])
    AD_ID_TYPE (Type: TEXT; Sample values: ['APreEMinQABB7N'])
    CANVAS_STEP_MESSAGE_VARIATION_API_ID (Type: TEXT; Sample values: ['4a3fXhIosSjQZI'])
    CANVAS_VARIATION_API_ID (Type: TEXT; Sample values: ['YK6sGG1sEfGGxB'])
    CAMPAIGN_ID (Type: TEXT; Sample values: ['WiLO2VZ0fj50DrT'])
    APP_GROUP_API_ID (Type: TEXT; Sample values: ['HqUWevTgLRKoVu'])
    CANVAS_VARIATION_ID (Type: TEXT; Sample values: ['None'])
    CANVAS_STEP_ID (Type: TEXT; Sample values: ['None'])
    APP_GROUP_ID (Type: TEXT; Sample values: ['OkIYT1HbF7u'])
    EXTERNAL_USER_ID (Type: TEXT; Sample values: ['dnwH4Ethd8u'])
]

--------------------------------------------------

###Table full name: BRAZE_USER_EVENT_DEMO_DATASET.PUBLIC.USERS_MESSAGES_PUSHNOTIFICATION_SEND_VIEW
[
    TIMEZONE (Type: TEXT; Sample values: ['Asia/Singapore'])
    TIME (Type: NUMBER; Sample values: ['1680184087'])
    PUSH_TOKEN (Type: TEXT; Sample values: ['s2hQmuKIrMETet'])
    AD_ID (Type: TEXT; Sample values: ['D3rU3y9rfgv3BI'])
    USER_ID (Type: TEXT; Sample values: ['1ozEahxyc2abh48'])
    APP_ID (Type: TEXT; Sample values: ['WleeR6PnBPb'])
    PLATFORM (Type: TEXT; Sample values: ['android'])
    AD_TRACKING_ENABLED (Type: BOOLEAN; Sample values: ['True'])
    ID (Type: TEXT; Sample values: ['l2pRHH03p3rNKQ'])
    SF_CREATED_AT (Type: TIMESTAMP_LTZ; Sample values: ['2021-12-14 11:17:38.135000-08:00'])
    DEVICE_ID (Type: TEXT; Sample values: ['haIvl0TxMxrImx'])
    SEND_ID (Type: TEXT; Sample values: ['dFEFtQwTTMmqhv'])
    APP_API_ID (Type: TEXT; Sample values: ['gKbiTH3V2QFztQ'])
    CANVAS_VARIATION_API_ID (Type: TEXT; Sample values: ['U5aE8qPe1JyW2H'])
    AD_ID_TYPE (Type: TEXT; Sample values: ['w1WpdMO2QxzRao'])
    CANVAS_STEP_ID (Type: TEXT; Sample values: ['None'])
    MESSAGE_VARIATION_ID (Type: TEXT; Sample values: ['dv7cyxmLjXAHLr1'])
    CANVAS_ID (Type: TEXT; Sample values: ['None'])
    CANVAS_STEP_API_ID (Type: TEXT; Sample values: ['None'])
    CANVAS_STEP_MESSAGE_VARIATION_API_ID (Type: TEXT; Sample values: ['FWrYLbJtaJ8qpj'])
    CANVAS_STEP_MESSAGE_VARIATION_ID (Type: TEXT; Sample values: ['oQUCsvxAFJIG1J'])
    CAMPAIGN_API_ID (Type: TEXT; Sample values: ['MiDH96y6uwe8aAk'])
    CANVAS_VARIATION_ID (Type: TEXT; Sample values: ['None'])
    MESSAGE_VARIATION_API_ID (Type: TEXT; Sample values: ['MUG5lP7Gd1dXn3'])
    CANVAS_API_ID (Type: TEXT; Sample values: ['None'])
    EXTERNAL_USER_ID (Type: TEXT; Sample values: ['Uu32LDsWda5'])
    APP_GROUP_API_ID (Type: TEXT; Sample values: ['Uk8Bd2fmznAO3L'])
    DISPATCH_ID (Type: TEXT; Sample values: ['SRMagN0H3GJ13T'])
    APP_GROUP_ID (Type: TEXT; Sample values: ['OkIYT1HbF7u'])
    CAMPAIGN_ID (Type: TEXT; Sample values: ['WUWF171IL9Y8zT4'])
]

--------------------------------------------------

###Table full name: BRAZE_USER_EVENT_DEMO_DATASET.PUBLIC.USERS_MESSAGES_PUSHNOTIFICATION_OPEN_VIEW
[
    TIMEZONE (Type: TEXT; Sample values: ['Indian/Chagos'])
    TIME (Type: NUMBER; Sample values: ['1688533671'])
    USER_ID (Type: TEXT; Sample values: ['01HcGn13T509adp'])
    AD_ID (Type: TEXT; Sample values: ['2vgBtWalwZSoWl'])
    APP_ID (Type: TEXT; Sample values: ['cavgwlQbKmE'])
    PLATFORM (Type: TEXT; Sample values: ['android'])
    AD_TRACKING_ENABLED (Type: BOOLEAN; Sample values: ['True'])
    ID (Type: TEXT; Sample values: ['Hc1Iv6aIcwzNeW'])
    BROWSER (Type: TEXT; Sample values: ['LBFXVe3'])
    SEND_ID (Type: TEXT; Sample values: ['fNaQDrXaZMYmc6'])
    DEVICE_ID (Type: TEXT; Sample values: ['eme29Cv96aYONB'])
    APP_API_ID (Type: TEXT; Sample values: ['NgLvvF7qSliEgW'])
    AD_ID_TYPE (Type: TEXT; Sample values: ['ok9jiQnoT4rbCA'])
    MESSAGE_VARIATION_ID (Type: TEXT; Sample values: ['MS7NDpmYtLv49sG'])
    CANVAS_STEP_MESSAGE_VARIATION_ID (Type: TEXT; Sample values: ['YzGN6bvVZOfAca'])
    CAMPAIGN_ID (Type: TEXT; Sample values: ['v15fcVnCvcpFehz'])
    CANVAS_STEP_ID (Type: TEXT; Sample values: ['None'])
    SLIDE_ID (Type: TEXT; Sample values: ['ElVKQzs'])
    CANVAS_STEP_MESSAGE_VARIATION_API_ID (Type: TEXT; Sample values: ['jDCb6vdE5G39WM'])
    CANVAS_VARIATION_ID (Type: TEXT; Sample values: ['None'])
    APP_GROUP_API_ID (Type: TEXT; Sample values: ['fKsYbbiE7hU8Li'])
    CANVAS_STEP_API_ID (Type: TEXT; Sample values: ['None'])
    CANVAS_ID (Type: TEXT; Sample values: ['None'])
    CAMPAIGN_API_ID (Type: TEXT; Sample values: ['Nh8PNaF31j1Xg7J'])
    APP_GROUP_ID (Type: TEXT; Sample values: ['JyWFOSKn8bq'])
    EXTERNAL_USER_ID (Type: TEXT; Sample values: ['MN8AnlgGox6'])
    SLIDE_ACTION_TYPE (Type: TEXT; Sample values: ['6m4kNyy'])
    DISPATCH_ID (Type: TEXT; Sample values: ['E9oryjWyV3JiEq'])
    CANVAS_API_ID (Type: TEXT; Sample values: ['None'])
