###Table full name: IDC.IDC_V17.SEGMENTATIONS
[
    SeriesInstanceUID (Type: TEXT; Sample values: ['1.2.276.0.7230010.3.1.3.17436516.653383.1696970728.262449', '1.2.276.0.7230010.3.1.3.17436516.664776.1696970888.933027', '1.2.276.0.7230010.3.1.3.17436516.666590.1696970914.61655', '1.2.276.0.7230010.3.1.3.17436516.651565.1696970702.349014', '1.2.276.0.7230010.3.1.3.17436516.664189.1696970884.510051'])
    segmented_SeriesInstanceUID (Type: TEXT; Sample values: ['None', 'None', 'None', 'None', 'None'])
    SOPInstanceUID (Type: TEXT; Sample values: ['1.2.276.0.7230010.3.1.4.17436516.653383.1696970728.262450', '1.2.276.0.7230010.3.1.4.17436516.664776.1696970888.933028', '1.2.276.0.7230010.3.1.4.17436516.666590.1696970914.61656', '1.2.276.0.7230010.3.1.4.17436516.651565.1696970702.349015', '1.2.276.0.7230010.3.1.4.17436516.664189.1696970884.510052'])
    SegmentAlgorithmName (Type: TEXT; Sample values: ['BAMF-Lung-FDG-PET-CT', 'BAMF-Lung-FDG-PET-CT', 'BAMF-Lung-FDG-PET-CT', 'BAMF-Lung-FDG-PET-CT', 'BAMF-Lung-FDG-PET-CT'])
    AnatomicRegion (Type: VARIANT; Sample values: ['{\n  "CodeMeaning": "Lung",\n  "CodeValue": "39607008",\n  "CodingSchemeDesignator": "SCT"\n}', '{\n  "CodeMeaning": "Lung",\n  "CodeValue": "39607008",\n  "CodingSchemeDesignator": "SCT"\n}', '{\n  "CodeMeaning": "Lung",\n  "CodeValue": "39607008",\n  "CodingSchemeDesignator": "SCT"\n}', '{\n  "CodeMeaning": "Lung",\n  "CodeValue": "39607008",\n  "CodingSchemeDesignator": "SCT"\n}', '{\n  "CodeMeaning": "Lung",\n  "CodeValue": "39607008",\n  "CodingSchemeDesignator": "SCT"\n}'])
    StudyInstanceUID (Type: TEXT; Sample values: ['1.3.6.1.4.1.14519.5.2.1.6655.2359.347530668916195093993314226855', '1.3.6.1.4.1.14519.5.2.1.7009.2403.310711020836741121756601412628', '1.3.6.1.4.1.14519.5.2.1.4334.1501.235943114230672958648726848000', '1.3.6.1.4.1.14519.5.2.1.7009.2403.310711020836741121756601412628', '1.3.6.1.4.1.14519.5.2.1.7009.2403.109906860154809337892916956712'])
    SegmentNumber (Type: NUMBER; Sample values: ['2', '2', '2', '2', '2'])
    AnatomicRegionModifier (Type: VARIANT; Sample values: ['{\n  "CodeMeaning": "Right and left",\n  "CodeValue": "51440002",\n  "CodingSchemeDesignator": "SCT"\n}', '{\n  "CodeMeaning": "Right and left",\n  "CodeValue": "51440002",\n  "CodingSchemeDesignator": "SCT"\n}', '{\n  "CodeMeaning": "Right and left",\n  "CodeValue": "51440002",\n  "CodingSchemeDesignator": "SCT"\n}', '{\n  "CodeMeaning": "Right and left",\n  "CodeValue": "51440002",\n  "CodingSchemeDesignator": "SCT"\n}', '{\n  "CodeMeaning": "Right and left",\n  "CodeValue": "51440002",\n  "CodingSchemeDesignator": "SCT"\n}'])
    SegmentAlgorithmType (Type: TEXT; Sample values: ['SEMIAUTOMATIC', 'SEMIAUTOMATIC', 'SEMIAUTOMATIC', 'SEMIAUTOMATIC', 'SEMIAUTOMATIC'])
    TrackingUID (Type: TEXT; Sample values: ['None', 'None', 'None', 'None', 'None'])
    PatientID (Type: TEXT; Sample values: ['Lung_Dx-A0190', 'ACRIN-NSCLC-FDG-PET-241', 'R01-117', 'ACRIN-NSCLC-FDG-PET-241', 'ACRIN-NSCLC-FDG-PET-134'])
    TrackingID (Type: TEXT; Sample values: ['None', 'None', 'None', 'None', 'None'])
    FrameOfReferenceUID (Type: TEXT; Sample values: ['1.3.6.1.4.1.14519.5.2.1.6655.2359.138271048259053653884696768856', '1.3.6.1.4.1.14519.5.2.1.7009.2403.331653382114194988162880540454', '1.3.6.1.4.1.14519.5.2.1.4334.1501.258477471729273768248128963850', '1.3.6.1.4.1.14519.5.2.1.7009.2403.331653382114194988162880540454', '1.3.6.1.4.1.14519.5.2.1.7009.2403.137251274848917092866047430956'])
    SegmentedPropertyType (Type: VARIANT; Sample values: ['{\n  "AnatomicRegionModifierSequence": [],\n  "CodeMeaning": "FDG-Avid Tumor",\n  "CodeValue": "C168968",\n  "CodingSchemeDesignator": "NCIt",\n  "SegmentedPropertyTypeModifierCodeSequence": []\n}', '{\n  "AnatomicRegionModifierSequence": [],\n  "CodeMeaning": "FDG-Avid Tumor",\n  "CodeValue": "C168968",\n  "CodingSchemeDesignator": "NCIt",\n  "SegmentedPropertyTypeModifierCodeSequence": []\n}', '{\n  "AnatomicRegionModifierSequence": [],\n  "CodeMeaning": "FDG-Avid Tumor",\n  "CodeValue": "C168968",\n  "CodingSchemeDesignator": "NCIt",\n  "SegmentedPropertyTypeModifierCodeSequence": []\n}', '{\n  "AnatomicRegionModifierSequence": [],\n  "CodeMeaning": "FDG-Avid Tumor",\n  "CodeValue": "C168968",\n  "CodingSchemeDesignator": "NCIt",\n  "SegmentedPropertyTypeModifierCodeSequence": []\n}', '{\n  "AnatomicRegionModifierSequence": [],\n  "CodeMeaning": "FDG-Avid Tumor",\n  "CodeValue": "C168968",\n  "CodingSchemeDesignator": "NCIt",\n  "SegmentedPropertyTypeModifierCodeSequence": []\n}'])
    SegmentedPropertyCategory (Type: VARIANT; Sample values: ['{\n  "CodeMeaning": "Radiologic Finding",\n  "CodeValue": "C35869",\n  "CodingSchemeDesignator": "NCIt"\n}', '{\n  "CodeMeaning": "Radiologic Finding",\n  "CodeValue": "C35869",\n  "CodingSchemeDesignator": "NCIt"\n}', '{\n  "CodeMeaning": "Radiologic Finding",\n  "CodeValue": "C35869",\n  "CodingSchemeDesignator": "NCIt"\n}', '{\n  "CodeMeaning": "Radiologic Finding",\n  "CodeValue": "C35869",\n  "CodingSchemeDesignator": "NCIt"\n}', '{\n  "CodeMeaning": "Radiologic Finding",\n  "CodeValue": "C35869",\n  "CodingSchemeDesignator": "NCIt"\n}'])
    viewer_url (Type: TEXT; Sample values: ['None', 'None', 'None', 'None', 'None'])
]

--------------------------------------------------

###Table full name: IDC.IDC_V17.DICOM_ALL
[
    SeriesInstanceUID (Type: TEXT; Sample values: ['1.2.840.113654.2.55.286585074629136673697149467703631406338', '1.2.840.113654.2.55.206816254587970136084378013338289118172', '1.2.840.113654.2.55.177630169322150231721484650076633097612', '1.2.840.113654.2.55.241127592238091291973528290810645287066', '1.2.840.113654.2.55.256299343016283789104389095516984631610'])
    NumberOfSeriesRelatedInstances (Type: TEXT; Sample values: ['None', 'None', 'None', 'None', 'None'])
    SegmentSequence (Type: VARIANT; Sample values: ['[]', '[]', '[]', '[]', '[]'])
    SegmentationType (Type: TEXT; Sample values: ['None', 'None', 'None', 'None', 'None'])
    AnatomicRegionSequence (Type: VARIANT; Sample values: ['[]', '[]', '[]', '[]', '[]'])
    FractionGroupSequence (Type: VARIANT; Sample values: ['[]', '[]', '[]', '[]', '[]'])
    SegmentationFractionalType (Type: TEXT; Sample values: ['None', 'None', 'None', 'None', 'None'])
    ROIContourSequence (Type: VARIANT; Sample values: ['[]', '[]', '[]', '[]', '[]'])
    TotalPixelMatrixOriginSequence (Type: VARIANT; Sample values: ['[]', '[]', '[]', '[]', '[]'])
    Modality (Type: TEXT; Sample values: ['CT', 'CT', 'CT', 'CT', 'CT'])
    RTROIObservationsSequence (Type: VARIANT; Sample values: ['[]', '[]', '[]', '[]', '[]'])
    SeriesType (Type: VARIANT; Sample values: ['[]', '[]', '[]', '[]', '[]'])
    StructureSetROISequence (Type: VARIANT; Sample values: ['[]', '[]', '[]', '[]', '[]'])
    RealWorldValueMappingSequence (Type: VARIANT; Sample values: ['[]', '[]', '[]', '[]', '[]'])
    DimensionOrganizationSequence (Type: VARIANT; Sample values: ['[]', '[]', '[]', '[]', '[]'])
    MRAcquisitionFrequencyEncodingSteps (Type: NUMBER; Sample values: ['None', 'None', 'None', 'None', 'None'])
    NumberOfRRIntervals (Type: NUMBER; Sample values: ['None', 'None', 'None', 'None', 'None'])
    SequenceOfUltrasoundRegions (Type: VARIANT; Sample values: ['[]', '[]', '[]', '[]', '[]'])
    LargestPixelValueInSeries (Type: NUMBER; Sample values: ['None', 'None', 'None', 'None', 'None'])
    RegistrationSequence (Type: VARIANT; Sample values: ['[]', '[]', '[]', '[]', '[]'])
    MRAcquisitionPhaseEncodingStepsOutOfPlane (Type: NUMBER; Sample values: ['None', 'None', 'None', 'None', 'None'])
    NumberOfStudyRelatedInstances (Type: TEXT; Sample values: ['None', 'None', 'None', 'None', 'None'])
    SeriesNumber (Type: TEXT; Sample values: ['2', '2', '2', '2', '3'])
    DimensionIndexSequence (Type: VARIANT; Sample values: ['[]', '[]', '[]', '[]', '[]'])
    NumberOfPoints (Type: VARIANT; Sample values: ['[]', '[]', '[]', '[]', '[]'])
    SOPClassUID (Type: TEXT; Sample values: ['1.2.840.10008.5.1.4.1.1.2', '1.2.840.10008.5.1.4.1.1.2', '1.2.840.10008.5.1.4.1.1.2', '1.2.840.10008.5.1.4.1.1.2', '1.2.840.10008.5.1.4.1.1.2'])
    HistogramSequence (Type: VARIANT; Sample values: ['[]', '[]', '[]', '[]', '[]'])
    ModalitiesInStudy (Type: VARIANT; Sample values: ['[]', '[]', '[]', '[]', '[]'])
    VOILUTSequence (Type: VARIANT; Sample values: ['[]', '[]', '[]', '[]', '[]'])
