###Table full name: PANCANCER_ATLAS_1.PANCANCER_ATLAS_FILTERED.EBPP_ADJUSTPANCAN_ILLUMINAHISEQ_RNASEQV2_GENEXP_FILTERED
[
    normalized_count (Type: FLOAT; Sample values: ['649.975', '405.581', '1142.38', '699.417', '69.2101']; Description: Normalized gene expression)
    Study (Type: TEXT; Sample values: ['THCA', 'THCA', 'THCA', 'THCA', 'THCA']; Description: TCGA study abbreviation, eg LAML. Full list available at https://gdc.cancer.gov/resources-tcga-users/tcga-code-tables/tcga-study-abbreviations)
    Symbol (Type: TEXT; Sample values: ['CTAGE9', 'JDP2', 'RTKN', 'SLC2A11', 'PCDHGB1']; Description: eg TP53, LRP1B, etc (same as Hugo_Symbol field except blank instead of Unknown)
    ParticipantBarcode (Type: TEXT; Sample values: ['TCGA-EL-A3ZT', 'TCGA-EL-A3ZT', 'TCGA-EL-A3ZT', 'TCGA-EL-A3ZT', 'TCGA-EL-A3ZT']; Description: TCGA barcode identifier for the study participant, eg TCGA-02-0001)
    SampleBarcode (Type: TEXT; Sample values: ['TCGA-EL-A3ZT-01A', 'TCGA-EL-A3ZT-01A', 'TCGA-EL-A3ZT-01A', 'TCGA-EL-A3ZT-01A', 'TCGA-EL-A3ZT-01A']; Description: Barcode of the biospecimen sample, eg TCGA-13-1489-02A)
    SampleTypeLetterCode (Type: TEXT; Sample values: ['TP', 'TP', 'TP', 'TP', 'TP']; Description: Letter code of the sample type using the TCGA standards, eg TPN, EBV. Full list available at https://gdc.cancer.gov/resources-tcga-users/tcga-code-tables/sample-type-codes)
    AliquotBarcode (Type: TEXT; Sample values: ['TCGA-EL-A3ZT-01A-12R-A23N-07', 'TCGA-EL-A3ZT-01A-12R-A23N-07', 'TCGA-EL-A3ZT-01A-12R-A23N-07', 'TCGA-EL-A3ZT-01A-12R-A23N-07', 'TCGA-EL-A3ZT-01A-12R-A23N-07']; Description: TCGA aliquot barcode, eg TCGA-12-1089-01A-01D-0517-28)
    Entrez (Type: TEXT; Sample values: ['643854', '122953', '6242', '66035', '56104']; Description: Entrez ID from the NCBI, eg 730971)
    SampleType (Type: TEXT; Sample values: ['Primary solid Tumor', 'Primary solid Tumor', 'Primary solid Tumor', 'Primary solid Tumor', 'Primary solid Tumor']; Description: There are 10 sample types: Blood Derived Normal, Primary solid Tumor, Solid Tissue Normal, Recurrent Solid Tumor, Metastatic, Additional - New Primary, Primary Blood Derived Cancer - Peripheral Blood, Buccal Cell Normal, Additioanal Metastatic, Bone Marrrow Normal)
]

--------------------------------------------------

###Table full name: PANCANCER_ATLAS_1.PANCANCER_ATLAS_FILTERED.CLINICAL_PANCAN_PATIENT_WITH_FOLLOWUP_FILTERED
[
    p53_gene_analysis (Type: TEXT; Sample values: ['None', 'None', 'None', 'None', 'None']; Description: Text term to describe the status of the p53 gene. NCI CDE: 3124938)
    loss_expression_of_mismatch_repair_proteins_by_ihc_result (Type: TEXT; Sample values: ['None', 'None', 'None', 'None', 'None']; Description: Loss expression of mismatch repair proteins by ihc result)
    ldh1_mutation_test_method (Type: TEXT; Sample values: ['None', 'None', 'None', 'None', 'None']; Description: ldh1 mutation test method)
    braf_gene_analysis_result (Type: TEXT; Sample values: ['None', 'None', 'None', 'None', 'None']; Description: Text term to identify the result of the Mutational analysis and sequencing of the BRAF gene. NCI CDE: 3107189)
    kras_mutation_result (Type: TEXT; Sample values: ['None', 'None', 'None', 'None', 'None']; Description: Text term to signify the ability to detect a mutation on the KRAS non wild-type gene. NCI CDE: 3135074)
    kras_gene_analysis_performed (Type: TEXT; Sample values: ['None', 'None', 'None', 'None', 'None']; Description: Indicator of whether or not analysis for KRAS gene mutation abnormality was performed. NCI CDE: 6060079)
    braf_gene_analysis_performed (Type: TEXT; Sample values: ['None', 'None', 'None', 'None', 'None']; Description: Indicator of whether or not an analysis for mutation in the BRAF gene was performed. NCI CDE: 6061813)
    genotyping_results_gene_mutation_not_reported_reason (Type: TEXT; Sample values: ['None', 'None', 'None', 'None', 'None']; Description: Text term to capture the explanation related to missing results for genotypic analysis. NCI CDE: 3179383)
    ldh1_mutation_tested (Type: TEXT; Sample values: ['None', 'None', 'None', 'None', 'None']; Description: ldh1 mutation tested)
    egfr_mutation_result (Type: TEXT; Sample values: ['None', 'None', 'None', 'None', 'None']; Description: Text term to signify the ability to detect a mutation on the EGFR gene. NCI CDE: 3774251)
    her2_erbb_method_calculation_method_text (Type: TEXT; Sample values: ['None', 'None', 'None', 'None', 'None']; Description: Text to describe the method used to calculate HER2/ERBB2 positivity in a specimen or sample. NCI CDE: 3087487)
    braf_gene_genotyping_outcome_lab_results_text (Type: TEXT; Sample values: ['None', 'None', 'None', 'None', 'None']; Description: Free text field to specify the results of genotypic assessment of mutation in the BRAF gene. NCI CDE: 3179257)
    loss_expression_of_mismatch_repair_proteins_by_ihc (Type: TEXT; Sample values: ['None', 'None', 'None', 'None', 'None']; Description: Loss expression of mismatch repair proteins by ihc)
    egfr_mutation_performed (Type: TEXT; Sample values: ['None', 'None', 'None', 'None', 'None']; Description: Indicator of whether or not an analysis for mutation in the EGFR gene was performed. NCI CDE: 6063955)
    gene_expression_profile (Type: TEXT; Sample values: ['None', 'None', 'None', 'None', 'None']; Description: Text term that represents the class designation resulting from gene expression profiling. NCI CDE: 3870395)
    metastatic_breast_carcinoma_her2_erbb_method_calculation_method_text (Type: TEXT; Sample values: ['None', 'None', 'None', 'None', 'None']; Description: Text to describe the method used to calculate HER2/ERBB2 positivity in a specimen or sample of metastatic breast carcinoma tissue. NCI CDE: 3132452)
    genetic_abnormality_tested (Type: TEXT; Sample values: ['None', 'None', 'None', 'None', 'None']; Description: Genetic abnormality tested)
    igk_genotype_results (Type: TEXT; Sample values: ['None', 'None', 'None', 'None', 'None']; Description: igk genotype results)
    eml4_alk_translocation_result (Type: TEXT; Sample values: ['None', 'None', 'None', 'None', 'None']; Description: Text term that represents the specific exon identified with the EML4-ALK chromosomal translocation. NCI CDE: 6063968)
    ras_family_gene_genotyping_outcome_lab_results_text (Type: TEXT; Sample values: ['None', 'None', 'None', 'None', 'None']; Description: Free text field to specify the results of genotypic assessment of mutation in the RAS gene. NCI CDE: 3179266)
    other_genotyping_outcome_lab_results_text (Type: TEXT; Sample values: ['None', 'None', 'None', 'None', 'None']; Description: Free text field to specify the results of other genotypic assessments of mutation that is not already specified or mentioned. NCI CDE: 3179278)
    eml4_alk_translocation_performed (Type: TEXT; Sample values: ['None', 'None', 'None', 'None', 'None']; Description: Indicator of whether or not an analysis for translocation in the EML4-ALK gene was performed. NCI CDE: 6063976)
